timestamp,level,feedback_round,selected_words,user_sentence,ai_feedback,word_stars,sentence_stars
2026-02-10 11:45:50,1,第1次回饋,"duck,rose,snow",They are ducks and roses on the snow,"【事實參考】 圖片中真實存在的正確單字: duck, rose, snow 學生選中的正確單字: duck, rose, snow 學生遺漏的單字: 學生目前造句: 『They are ducks and roses on the snow』 要求句型: 『使用 These/Those/They are 造句』   1. 單字提示：針對遺漏單字提供線索 學生已經選中所有正確單字，沒有遺漏。  2. 文法修正：檢查句子文法與單字拼法 They are ducks and roses on the snow. (句型正確，單字拼寫正確)  3. 畫面引導建議：如何讓句子更接近圖片內容 請試著描述圖片中「只有一種」東西的數量，例如：圖片中有幾隻在水裡游的動物？",0,0
2026-02-10 11:46:39,1,第2次回饋,"duck,rose,snow",They are a duck and some roses on the snow., 1. 單字提示：恭喜你，你已經選對了圖片中所有的單字！目前沒有遺漏的單字需要提示喔。  2. 文法修正：你的句子文法非常正確，單字拼寫也都正確！  3. 畫面引導建議：建議一：試著描述一下那隻在水面上游動的動物的顏色。建議二：試著描述一下那些花朵的顏色，它們看起來是紅色的。,0,0
2026-02-12 17:20:31,10,第2次回饋,"turtle,umbrella,raining",Those turtles are in raining day with the umbrella., 1. 單字提示：針對遺漏單字提供線索 老師看到你已經選對了圖片中所有的三個單字喔！  2. 文法修正：檢查句子文法與單字拼法 你的句型 Those turtles are 開頭很棒，符合要求。 但是，當我們說『在下雨的天氣裡』時，『下雨』這個字通常會用另一個樣子，或是我們會直接說『在雨中』。 請試著將 in raining day 改為 in the rain 或 on a rainy day，句子會更自然喔！  3. 畫面引導建議：如何讓句子更接近圖片內容 你的句子已經描述了三個單字。下次造句時，請觀察『傘』的顏色是什麼？試著把『傘』的顏色也加到你的句子裡。,3,3,6
2026-02-12 17:21:29,10,第3次回饋,"turtle,umbrella,raining",Those turtles are in raining day with the rad umbrella., 1. 單字提示：這次你選的單字都正確喔！圖片中所有正確的單字都已經被你選出來了，所以老師不用再提供線索囉。  2. 文法修正：你的句子結構很棒！我們來調整一下『下雨天』的說法。當我們描述『下雨天』時，通常會用形容詞 rainy 搭配 day，並且前面加上 a。另外，如果你想描述『正在下雨』的狀態，可以試著用 They are carrying umbrellas because it is raining 這樣的句型。  3. 畫面引導建議：老師建議你把句子改成描述這些烏龜正在做什麼的動作。試著把『下雨』這個動作直接加到句子裡，讓句子變成『牠們正在做什麼』的狀態。,3,3,6
2026-02-12 17:22:07,10,生成圖片階段,"turtle,umbrella,raining",Those turtles are in raining day with the red umbrella.,N/A,3,4,7
2026-02-21 23:06:24,12,第1次回饋,"street,reporter,hero",t ntgan gr r tvllrnv,回饋失敗：AI 老師連線異常，請稍後再試。,3,0,3
2026-02-21 23:06:33,12,第2次回饋,"street,reporter,hero",t ntgan gr r tvllrnv,回饋失敗：AI 老師連線異常，請稍後再試。,3,0,3
2026-02-21 23:15:19,hard_12,第1次回饋,"hero,reporter,street",4t5gqggtt,回饋失敗：AI 老師連線異常，請稍後再試。,3,0,3
2026-02-21 23:15:58,easy_1,第1次回饋,"bunny,cat,chicken",tsyhttarghnjh,回饋失敗：AI 老師連線異常，請稍後再試。,0,0,0
2026-02-21 23:19:14,easy_1,第2次回饋,"bunny,cat,chicken",tsyhttarghnjh,回饋失敗：AI 老師連線異常，請稍後再試。,0,0,0
2026-02-21 23:20:36,easy_1,第1次回饋,"bunny,cat,chicken",rgthytrfgthy,回饋失敗：404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-preview-09-2025:generateContent?key=AIzaSyBrQZtPIpZxvyxeTEiKLZuqJuQ_evgmtqQ,0,0,0
2026-02-21 23:21:15,easy_1,第1次回饋,"bunny,cat,chicken",hgvuhhj,回饋失敗：404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=AIzaSyBrQZtPIpZxvyxeTEiKLZuqJuQ_evgmtqQ,0,0,0
2026-02-21 23:26:06,easy_1,第1次回饋,"bird,boat,bunny",nljhghm, 1. 單字提示： 你可以找找看圖片中，有一種動物，牠的嘴巴扁扁的，身體圓圓的，喜歡在水裡游來游去。 圖片中有一種植物，它開著美麗的花朵，花瓣一層一層的，而且莖上可能會有小小的刺。 請看看圖片中，地上和屋頂上白白的一片，摸起來冰冰涼涼，是冬天常見的景象。  2. 文法修正： 你寫的「nljhghm」目前還不是一個英文單字，也不是一個完整的句子喔。請你記得，我們這次練習的句型是「These are...」、「Those are...」或是「They are...」。  3. 畫面引導建議： 很好，我們來一步一步練習。請你先看看圖片中，那個有扁扁嘴巴，會在水裡游的動物。試著用「These are...」或「They are...」來描述它。想想看，如果有很多隻這樣的動物，你會怎麼說呢？,0,0,0
2026-02-21 23:27:49,hard_1,第1次回饋,"bathroom,bathtub,blackboard",2FRNOBGANBT, 1. 單字提示：針對遺漏單字提供線索 請你看看圖片中，有沒有一個圓形的食物，上面通常有番茄醬和起司，而且常常切成三角形呢？ 另外，有沒有一個在天上飛的玩具，需要風才能飛起來，而且下面有一條線拉著它呢？ 還有，有沒有一大片綠色的土地，上面長滿了矮矮的植物，牛羊喜歡在這裡吃東西呢？  2. 文法修正：檢查句子文法與單字拼法 同學，你目前的句子看起來像是一串亂碼喔。我們這次要練習的是『What is it/are they doing?』這個問句句型。  3. 畫面引導建議：如何讓句子更接近圖片內容 請你看看圖片中，那一大片綠色的土地上，有沒有人正在進行什麼活動呢？,0,0,0
2026-02-21 23:53:53,hard_1,第1次回饋,"park,pizza,kite",hurfhvghtgrfharbt," 1. 單字提示： 請看看圖片中，風箏下方一大片綠色的地方，上面長滿了許多小小的綠色植物。  2. 文法修正： 你的句子目前還不是一個完整的英文句子喔。請你試著用 These are, Those are 或是 They are 來造句，並且搭配你選對的單字 pizza 和 kite 來練習看看！  3. 畫面引導建議： 你已經選對了 pizza 和 kite。下次造句時，你可以試著想想看，pizza 和 kite 在圖片中的哪個位置呢？例如，它們是在地上還是天上呢？",2,0,2
2026-02-21 23:55:33,hard_1,第1次回饋,"grassland,pizza,sandwich",tuhughrhhtoaeho, 1. 單字提示： 同學，你選對了 grassland 和 pizza，很棒喔！圖片中還有一個東西，它通常是彩色的，有時候是菱形或三角形，需要風才能在天上飛起來，而且下面會有一條長長的線讓你可以拉著它。你再找找看這個在天上的東西是什麼字呢？  2. 文法修正： 你現在寫的句子看起來不是一個完整的英文句子喔。我們來練習一下「What is it doing?」或是「What are they doing?」這個句型。這個句型是用來問「它/他們正在做什麼？」的意思。你可以想想看圖片裡的人或動物正在做什麼事情嗎？  3. 畫面引導建議： 很好，我們已經找到 grassland 和 pizza 了。現在，你可以試著用「What is it doing?」或「What are they doing?」這個句型，想想看圖片裡的人可能在草地上做什麼呢？例如，他們是不是在吃東西？或者在玩什麼呢？我們一步一步來，先想想他們在做什麼動作。,2,0,2
2026-02-21 23:58:01,hard_1,第1次回饋,"grassland,pizza,sandwich",ujaugvurhbrnravbrva," 1. 單字提示： 有一個東西，它通常在天空高高地飛舞。它有一條長長的線，人們可以拉著它。它有很多不同的顏色和形狀，有時候是菱形，有時候是動物的樣子。在圖片裡，它在綠色的地面上方，被風吹著。  2. 文法修正： 同學，你現在寫的句子看起來還不是一個完整的英文句子喔。我們來試著練習用 ""What is it/are they doing?"" 這個句型來描述圖片。你已經很棒地找到了 ""grassland"" 和 ""pizza"" 這兩個單字！  3. 畫面引導建議： 首先，請你看看圖片中，人們在綠色的地面上做些什麼呢？ 接著，他們是不是正在享用你找到的那個圓圓的、香香的食物？ 然後，請你再往天空看一下，有沒有看到一個有線、會飛的東西？ 把這些觀察到的動作和東西，試著用 ""What is/are they doing?"" 的問句來描述看看。",2,0,2
2026-02-22 15:02:53,hard_12,第1次回饋,"hero,reporter,street",tfrdogfdgfhjhl;jhgfcxdfghj, 1. 單字提示： 你已經很棒了！圖片中所有的正確單字都已經找出來囉，沒有遺漏的單字。  2. 文法修正： 同學，你現在寫的句子「tfrdogfdgfhjhl;jhgfcxdfghj」老師看不懂喔。請你記得，我們這次要練習使用「What is it/are they doing?」這個句型來造句。請你再試著用你找到的單字，重新寫一個句子。  3. 畫面引導建議： 現在，請你試著用「What is it/are they doing?」這個句型，並搭配你找到的單字，來描述圖片中「那個英雄」正在做什麼。,3,0,3
2026-02-22 15:35:33,hard_1,第1次回饋,"bathroom,bathtub,blackboard",nrfjvteavgr, 1. 單字提示： 關於一種圓形的食物，上面通常有紅色醬料和黃色乳酪，可以切成很多三角形的小塊。 關於一種在戶外，需要風才能飛起來的玩具，通常很輕，用一條線牽著它。 關於一大片綠色的地方，上面長滿了矮矮的綠色植物，人們可以在上面玩耍或休息。  2. 文法修正： 同學，你現在的句子看起來像一串隨機的字母，還不是一個完整的英文句子喔。 請你試著使用我們要求的句型 What is it doing? 或 What are they doing? 來造句。  3. 畫面引導建議： 請你先看著圖片，然後試著用 What is it doing? 這個問句來描述圖片中某個東西的動作。,0,0,0
2026-02-22 15:35:51,hard_1,第2次回饋,"bathroom,bathtub,blackboard",nrfjvteavgr, 1. 單字提示： 圖片裡有一個圓圓的食物，上面有黃色的起司，還有紅色的番茄，看起來很好吃。在藍色的天空上，有一個東西正在飛，它有長長的線，下面有人在拉著。另外，人們腳下踩著一大片綠色的地方，軟軟的，很舒服。  2. 文法修正： 同學，你目前的輸入看起來不像一個英文句子喔。我們要試著用「What is it/are they doing?」這個句型來造句。  3. 畫面引導建議： 你可以先試著用我們今天學的「What is it doing?」或「What are they doing?」這個句型，然後想想圖片裡那個在天空上飛的東西，它正在做什麼呢？,0,0,0
2026-02-22 15:36:16,hard_1,第3次回饋,"pizza,grassland,blackboard",nrfjvteavgr, 1. 單字提示： 它通常在戶外，需要風才能飛起來，有一條線可以拉著。  2. 文法修正： 你目前的句子「nrfjvteavgr」不是一個英文句子喔。請你試著用「What is it/are they doing?」這個句型來造句。  3. 畫面引導建議： 你可以試著描述圖片中「綠色的、有很多草的地方」正在發生什麼事？,2,0,2
2026-02-22 15:36:52,easy_1,第1次回饋,"bunny,cat,chicken",thyrsrtrbhatebheab,單字提示： 請你再仔細看看圖片喔！  1. 圖片中有一種動物，牠是一種鳥類，通常生活在水邊，有扁扁的嘴巴，會發出「嘎嘎」的聲音。 2. 圖片中還有一種很漂亮的花，莖上有刺，花瓣層層疊疊，紅色和粉紅色很常見。 3. 另外，圖片中還有冬天從天上飄下來的白色小片，摸起來冰冰涼涼的，會把地面變成一片白色的世界。  文法修正： 同學，你目前寫的「thyrsrtrbhatebheab」看起來不是一個英文單字或句子喔。我們要練習使用「These are」、「Those are」或「They are」來造句，並且注意單字的拼寫。  畫面引導建議： 請你試著用「牠們是」來描述圖片中你看到的那隻會在水裡游的動物。,0,0,0
2026-02-22 15:37:09,easy_1,第2次回饋,"bunny,cat,chicken",thyrsrtrbhatebheab, 1. 單字提示：針對遺漏單字提供線索 這是一種喜歡在水裡游的動物，牠的身體有羽毛，會發出「呱呱」的聲音。 這是一種很漂亮的花，常常是紅色的，莖上面有刺。 這是冬天從天上掉下來的白色、冰冷的片狀物。  2. 文法修正：檢查句子文法與單字拼法 你目前寫的「thyrsrtrbhatebheab」看起來不是一個英文句子喔。英文句子需要有正確的單字和文法。 我們今天練習的句型是「These are...」、「Those are...」或「They are...」。你可以試著先找到圖片中的正確單字，再用這個句型來造句喔！  3. 畫面引導建議：如何讓句子更接近圖片內容 請你先試著找出圖片中『那隻在水裡游的動物』的英文單字。找到之後，我們再來試著用它造一個簡單的句子。,0,0,0
2026-02-22 15:37:29,easy_1,第3次回饋,"duck,rose,snow",thyrsrtrbhatebheab," 1. 單字提示：針對遺漏單字提供線索 你已經找到圖片中所有的正確單字了，沒有遺漏的喔！很棒！  2. 文法修正：檢查句子文法與單字拼法 你目前造的句子『thyrsrtrbhatebheab』還不是英文喔。 你找到的單字拼寫是 d u c k, r o s e, s n o w。 請試著用你找到的單字，並搭配 These/Those/They are 來造一個完整的英文句子。  3. 畫面引導建議：如何讓句子更接近圖片內容 你可以先試著把圖片中看到的動物和植物都放進句子裡，並用 These/Those/They are 開頭。",3,0,3
2026-02-22 15:48:52,hard_1,第1次回饋,"bathtub,blackboard,bottle",efgv bgwfcdfvff, 1. 單字提示： 有一個圓形的食物，上面有黃色的起司，通常切成一片一片的三角形。 有一個輕巧的玩具，有長長的線，可以讓它在空中飛來飛去。 有一大片綠色的土地，上面長滿了矮矮的植物，人們可以在上面活動。  2. 文法修正： 你目前的句子看起來還沒有意義喔。請你記得要使用 These/Those/They are 的句型來造句。  3. 畫面引導建議： 你可以試著用圖片中那個在天上飛的物品來造一個簡單的句子喔。,0,0,0
2026-02-22 15:49:38,hard_1,第2次回饋,"bathtub,blackboard,bottle",efgv bgwfcdfvff," 1. 單字提示：針對遺漏單字提供線索 圖片中有一種圓圓的食物，上面有融化的起司和紅色的醬料，通常會切成三角形的小塊。 在圖片的天空中，有一個東西有長長的線，會隨著風飛舞，形狀可能像菱形或動物。 圖片的地面上有一大片綠色的區域，上面長滿了矮矮的植物，很適合在上面野餐或玩耍。  2. 文法修正：檢查句子文法與單字拼法 你的句子『efgv bgwfcdfvff』目前還沒有組成英文單字喔。請你回想一下我們今天學的句型 These are, Those are 或是 They are，然後試著用這些句型來造句。  3. 畫面引導建議：如何讓句子更接近圖片內容 我們來試著從圖片中找到一個東西來造句吧！請你先看看圖片裡，那個在天空中飛舞，有長長線條的東西。找到它之後，請你試著用 These are 或 Those are 來造句，描述你看到的這個東西。",0,0,0
2026-02-22 15:50:07,hard_1,第3次回饋,"bathtub,blackboard,bottle",efgv bgwfcdfvff," 1. 單字提示：針對遺漏單字提供線索 你遺漏的單字有： 第一種：這是一種圓形的食物，上面通常有番茄醬和起司，可以切成一片一片的。 第二種：這是一個輕巧的玩具，通常有骨架和紙或布，用一條線牽著，可以在有風的時候飛到空中。 第三種：這是一大片綠色的土地，上面長滿了矮小的植物，很少看到高大的樹木。  2. 文法修正：檢查句子文法與單字拼法 你的句子『efgv bgwfcdfvff』目前還不是一個完整的英文句子喔。我們來想想看，要怎麼用 These, Those 或是 They are 來開頭造句呢？記得單字也要拼寫正確喔！  3. 畫面引導建議：如何讓句子更接近圖片內容 圖片裡有什麼東西是你可以用 These, Those 或是 They are 來描述的呢？你可以先試著選一個圖片裡有的東西，例如『風箏』，然後用『They are...』來造一個簡單的句子。",0,0,0
2026-02-22 15:56:26,hard_2,第1次回饋,"basketball,bathtub,blackboard",asdfbhnybgsfd,單字提示： 有一個機器有螢幕和鍵盤，通常放在桌上，用來處理資料或玩遊戲。還有一種深色的熱飲，通常裝在馬克杯裡，早上或下午提神用的。最後，有一個人們工作的地方，裡面通常會有辦公桌和椅子。  文法修正： 你目前輸入的內容還不是一個完整的句子喔！請你試著用「What is it/are they doing?」這個句型來造句，描述圖片中正在發生的事情。  畫面引導建議： 想想看，圖片中是不是有一個地方是大家工作的？你可以試著用這個地方來開始描述圖片。,0,0,0
2026-02-22 15:56:43,hard_2,第2次回饋,"computer,bathtub,blackboard",asdfbhnybgsfd, 1. 單字提示：針對遺漏單字提供線索 圖片中有一種深褐色的飲料，通常裝在杯子裡，很多人早上會喝它來提神喔。另外，這是一個工作的地方，裡面通常會有桌子、椅子和電腦。  2. 文法修正：檢查句子文法與單字拼法 同學，你現在的輸入看起來還不是一個完整的英文句子喔。請你試著使用我們要求你的句型『What is it/are they doing?』來造句，並且注意每個單字的拼寫是否正確。  3. 畫面引導建議：如何讓句子更接近圖片內容 很棒，你找到了『computer』這個單字。現在，請你試著用『What is it/are they doing?』這個句型，來描述圖片中『電腦』正在做什麼，或是『有人』正在對電腦做什麼。我們一次增加一個小細節就好。,1,0,1
2026-02-22 15:57:08,hard_2,第3次回饋,"computer,bathtub,blackboard",asdfbhnybgsfd," 1. 單字提示：針對遺漏單字提供線索 針對 coffee: 這種東西通常是深色的液體，人們會用杯子裝著它，喝了以後會覺得比較有精神。 針對 office: 這是一個房間，裡面常常有桌子、椅子和電腦，人們在這裡工作。  2. 文法修正：檢查句子文法與單字拼法 你的句子目前還不是英文句子喔。我們要來練習使用 ""What is it/are they doing?"" 這個句型來造句。  3. 畫面引導建議：如何讓句子更接近圖片內容 你已經找到 computer 這個單字了，很棒！現在，我們試著用這個單字來造一個句子。你可以想想看，圖片中的電腦正在做什麼呢？試著說：The computer is working. (電腦正在運作。)",1,0,1
2026-02-22 16:03:00,easy_2,第1次回饋,"cat,chicken,cow",brdnjehgtfrced," 1. 單字提示： 同學，我們來看看圖片中還有哪些東西是你漏掉的喔！ 首先，有一種毛茸茸、很可愛的小動物，牠還很小，是狗的寶寶。 再來，有一種鳥，牠的羽毛顏色很鮮豔，而且很特別的是，牠會學人說話喔！ 最後，還有一個地方，那裡有很多很多的樹木，很大一片，空氣也很新鮮。  2. 文法修正： 同學，你現在的句子看起來像是一串隨機的字母喔！我們現在要練習用 These are, Those are 或是 They are 來造句。記得每個單字都要拼對，然後按照英文的順序排列，這樣句子才有意義喔！  3. 畫面引導建議： 你可以先試著用『These are』來描述圖片中那種毛茸茸、很可愛的小動物。 接著，再想想那種羽毛鮮豔、會學人說話的鳥，你可以用『They are』來描述牠們。 最後，試著用『They are』來描述這些動物所在的地方，那個地方有很多樹木，很大片喔！",0,0,0
2026-02-22 16:03:36,easy_2,第2次回饋,"cat,chicken,cow",brdnjehgtfrced,單字提示： 畫面中有一種小小的、毛茸茸的動物，牠有四隻腳，喜歡玩耍。 畫面中還有一種有翅膀的動物，牠的嘴巴彎彎的，身上有很多鮮豔的顏色。 另外，畫面中還有一個地方，那裡有很多高大的樹木，裡面住著許多不同的動物。  文法修正： 同學，你現在寫的『brdnjehgtfrced』看起來不是一個完整的英文句子喔。我們要練習使用 These/Those/They are 來造句，並且確保單字拼寫正確。  畫面引導建議：  1. 我們可以先看看畫面中是否有不止一隻小小的、毛茸茸的、有四隻腳的動物，如果有，就可以試著用『These are...』或『Those are...』來描述它們喔。 2. 接著，請你找找看畫面中是否有不止一隻有翅膀、嘴巴彎彎的、身上有很多顏色的動物，如果有，我們也可以用『These are...』或『Those are...』來描述喔。 3. 最後，如果畫面中同時出現了多種動物，或者動物們在一個有很多高大樹木的地方，我們也可以試著用『They are...』來造句，例如『They are animals.』或『They are in the forest.』,0,0,0
2026-02-22 16:04:22,easy_2,第3次回饋,"cat,chicken,cow",brdnjehgtfrced, 1. 單字提示：針對遺漏單字提供線索 有一種很小的動物，全身毛茸茸的，是狗狗的小寶寶。 還有一種會說話的鳥，身上有很多鮮豔的顏色，像是綠色或紅色。 另外，有一個地方有很多很多樹木，裡面住著許多動物。  2. 文法修正：檢查句子文法與單字拼法 同學，你現在的句子『brdnjehgtfrced』看起來不是一個完整的英文句子喔，而且這些字母也沒有拼成任何一個單字。我們需要使用 These/Those/They are 來造句。  3. 畫面引導建議：如何讓句子更接近圖片內容 我們可以先從圖片中找找看，有沒有看到很多棵高大的植物，它們長在一起形成一大片區域呢？如果有的話，我們可以試著用『These are...』來描述它們。,0,0,0
2026-02-22 16:07:48,easy_1,第1次回饋,"bunny,cat,chicken",hgfdfgbjnjv g, 1. 單字提示： 請你仔細看看圖片喔！ 有一個單字是關於一種在水裡游來游去、會發出「嘎嘎」聲音的動物，牠有扁扁的嘴巴。 另一個單字是一種很漂亮的花，通常有刺，有紅色、粉色等不同顏色，聞起來香香的。 還有一個單字是冬天從天上飄下來，白色、冰冰涼涼的東西，會把地面都蓋住。  2. 文法修正： 你寫的 hgfdfgbjnjv g 看起來不是一個英文句子喔！英文句子需要有意義的單字和正確的文法。老師希望你練習使用 These are、Those are 或 They are 來造句，後面要加上你看到的物品名稱。  3. 畫面引導建議： 請你再看看圖片，有沒有看到一隻在水邊的動物呢？牠的身體通常是白色的，嘴巴是黃色的。請試著用 These are 或 Those are 來描述牠。,0,0,0
2026-02-22 16:08:11,easy_1,第2次回饋,"bunny,cat,chicken",hgfdfgbjnjv g," 1. 單字提示：針對遺漏單字提供線索  請你仔細看看圖片，裡面有一個動物，牠有扁扁的嘴巴，身體通常是白色或棕色，喜歡在水裡游，還會發出呱呱的聲音。另外，圖片中還有一種植物，它有很多花瓣，通常是紅色、粉色或白色，莖上有刺，聞起來香香的。還有一個東西，它是白色的，細細小小一片一片的，天氣很冷的時候從天上掉下來，摸起來冰冰涼涼的。  2. 文法修正：檢查句子文法與單字拼法  你目前的句子『hgfdfgbjnjv g』還不是一個完整的英文句子喔。請記得我們這次要練習使用 These are, Those are 或是 They are 來造句。  3. 畫面引導建議：如何讓句子更接近圖片內容  請你先試著找出圖片中那個有扁扁嘴巴、喜歡在水裡游的動物，然後用 These are 或是 That is 來試著說說看。",0,0,0
2026-02-22 16:08:32,easy_1,第3次回饋,"bunny,cat,chicken",hgfdfgbjnjv g, 1. 單字提示： 同學，圖片裡還有一些東西你沒有找到喔！ 第一個是，一種會嘎嘎叫的鳥類，牠們通常喜歡在水邊玩耍，嘴巴扁扁的。 第二個是，一種非常漂亮的花朵，通常莖上會有刺，花瓣層層疊疊，顏色很多樣。 第三個是，冬天從天上降下來的白色小碎片，它們冰冰涼涼的，會把地面變得一片雪白。  2. 文法修正： 同學，你現在寫的句子「hgfdfgbjnjv g」看起來像一串隨機的字母，還不是一個完整的英文句子喔。我們要練習使用 These/Those/They are 來造句，記得每個單字都要拼寫正確，並且組成有意義的句子。  3. 畫面引導建議： 很好，現在請你試著用 These/Those/They are 來描述圖片中那隻會嘎嘎叫的動物。,0,0,0
